198	198
197	22
196	10
195	6
194	2
193	0
192	0
191	2
190	0
189	0
188	2
187	0
186	0
185	10
184	6
183	2
182	0
181	0
180	2
179	0
178	0
177	2
176	0
175	0
174	174
173	78
172	50
171	8
170	6
169	4
168	0
167	2
166	0
165	0
164	0
163	0
162	40
161	10
160	2
159	0
158	0
157	6
156	4
155	2
154	0
153	0
152	0
151	0
150	28
149	20
148	0
147	18
146	14
145	6
144	4
143	0
142	2
141	0
140	0
139	0
138	6
137	4
136	2
135	0
134	0
133	0
132	0
131	2
130	0
129	0
128	6
127	0
126	4
125	2
124	0
123	0
122	0
121	26
120	0
119	24
118	4
117	2
116	0
115	0
114	0
113	18
112	12
111	4
110	2
109	0
108	0
107	0
106	6
105	2
104	0
103	0
102	2
101	0
100	0
99	4
98	0
97	2
96	0
95	0
94	94
93	24
92	6
91	4
90	0
89	2
88	0
87	0
86	0
85	16
84	0
83	14
82	10
81	0
80	8
79	0
78	6
77	0
76	4
75	2
74	0
73	0
72	0
71	2
70	0
69	0
68	68
67	34
66	22
65	10
64	4
63	2
62	0
61	0
60	0
59	4
58	2
57	0
56	0
55	0
54	10
53	8
52	2
51	0
50	0
49	4
48	2
47	0
46	0
45	0
44	0
43	10
42	4
41	2
40	0
39	0
38	0
37	4
36	2
35	0
34	0
33	0
32	32
31	28
30	10
29	4
28	0
27	2
26	0
25	0
24	4
23	2
22	0
21	0
20	0
19	16
18	4
17	2
16	0
15	0
14	0
13	10
12	2
11	0
10	0
9	6
8	4
7	2
6	0
5	0
4	0
3	0
2	2
1	0
0	0
